row,date,signal_id,ticker,politician,sig_action,trade_price,current_price,price_change_pct,days_since_trade,decision,reason,score,time_decay,price_move,pos_size,pol_skill,src_qual,position_size_usd,cash_before,cash_after,open_positions
215,2026-01-16,"ct_10000064426",JPM,"Markwayne Mullin",BUY,322.30,312.47,-3.05,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
216,2026-01-16,"ct_10000064427",COF,"Markwayne Mullin",BUY,245.75,239.14,-2.69,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
217,2026-01-16,"ct_10000064428",RTX,"Markwayne Mullin",BUY,184.42,201.92,9.49,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
218,2026-01-16,"ct_10000064429",GOOGL,"Markwayne Mullin",BUY,313.56,330.00,5.24,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
219,2026-01-16,"ct_10000064430",ICE,"Markwayne Mullin",BUY,163.98,173.98,6.10,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
220,2026-01-16,"ct_10000064431",DE,"Markwayne Mullin",BUY,468.62,514.40,9.77,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
221,2026-01-16,"ct_10000064432",BSX,"Markwayne Mullin",BUY,95.76,88.07,-8.03,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
222,2026-01-16,"ct_10000064433",MSFT,"Markwayne Mullin",BUY,487.10,459.86,-5.59,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
223,2026-01-16,"ct_10000064434",GS,"Markwayne Mullin",BUY,892.18,962.00,7.83,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
224,2026-01-16,"ct_10000064435",LRCX,"Markwayne Mullin",BUY,175.87,222.96,26.78,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
225,2026-01-16,"ct_10000064436",KO,"Markwayne Mullin",BUY,70.16,70.44,0.40,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
226,2026-01-16,"ct_10000064437",AMZN,"Markwayne Mullin",BUY,232.07,239.12,3.04,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
227,2026-01-16,"ct_10000064438",NVDA,"Markwayne Mullin",BUY,188.22,186.23,-1.06,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
228,2026-01-16,"ct_10000064439",CRM,"Markwayne Mullin",BUY,266.23,227.11,-14.69,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
229,2026-01-16,"ct_10000064440",IQV,"Markwayne Mullin",BUY,227.11,237.68,4.65,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
230,2026-01-16,"ct_10000064441",ELV,"Markwayne Mullin",BUY,348.38,374.87,7.60,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
231,2026-01-16,"ct_10000064442",AXP,"Markwayne Mullin",BUY,374.49,364.79,-2.59,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
232,2026-01-16,"ct_10000064443",CVX,"Markwayne Mullin",BUY,150.99,166.26,10.11,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
233,2026-01-16,"ct_10000064444",AAPL,"Markwayne Mullin",BUY,273.76,255.53,-6.66,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
234,2026-01-16,"ct_10000064445",META,"Markwayne Mullin",BUY,658.69,620.25,-5.84,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
235,2026-01-16,"ct_10000064446",MA,"Markwayne Mullin",BUY,577.03,539.49,-6.51,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
236,2026-01-16,"ct_10000064447",HLT,"Markwayne Mullin",BUY,292.36,300.85,2.90,18,SKIP,"Not in whitelist",,,,,,,,659.44,659.44,3
